Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,39.669998,40.009998,39.240002,39.790001,39.016254,13111600
2022-07-12,39.080002,40.470001,39.009998,39.599998,38.829948,15127300
2022-07-13,39.080002,39.349998,38.410000,39.070000,38.310257,14116800
2022-07-14,38.090000,38.750000,37.430000,38.740002,37.986675,24355300
2022-07-15,39.400002,41.810001,39.230000,41.130001,40.330200,40328300
2022-07-18,41.930000,42.790001,41.020000,41.189999,40.389030,17991300
2022-07-19,41.880001,43.070000,41.750000,42.900002,42.065781,25724200
2022-07-20,42.540001,43.029999,42.360001,42.720001,41.889278,19111200
2022-07-21,42.480000,43.369999,42.279999,43.279999,42.438385,17809000
2022-07-22,43.169998,43.529999,42.689999,43.169998,42.330524,15965400
2022-07-25,43.529999,43.910000,43.209999,43.500000,42.654110,20297900
2022-07-26,43.110001,43.680000,42.810001,42.900002,42.065781,15446700
2022-07-27,42.980000,43.970001,42.689999,43.709999,42.860027,19498400
2022-07-28,43.549999,43.830002,42.709999,43.320000,42.477612,14527300
2022-07-29,43.310001,44.349998,43.310001,43.869999,43.016914,17512700
2022-08-01,43.439999,44.160000,43.160000,43.540001,42.693333,13668300
2022-08-02,43.490002,43.540001,42.860001,42.880001,42.046169,17764000
2022-08-03,43.389999,44.570000,43.250000,43.889999,43.036526,17359500
2022-08-04,43.500000,43.599998,42.639999,42.770000,42.226940,15062800
2022-08-05,42.580002,44.299999,42.529999,43.759998,43.204369,16021000
2022-08-08,43.970001,44.189999,43.130001,43.189999,42.641605,12879700
2022-08-09,43.220001,43.790001,42.990002,43.400002,42.848942,10489500
2022-08-10,44.040001,44.700001,44.040001,44.330002,43.767136,14037600
2022-08-11,45.000000,45.610001,44.889999,45.250000,44.675449,14038800
2022-08-12,45.520000,45.959999,45.189999,45.939999,45.356686,10706000
2022-08-15,45.410000,45.820000,44.910000,45.750000,45.169102,11070300
2022-08-16,45.580002,46.320000,45.349998,46.060001,45.475166,12234100
2022-08-17,45.720001,46.310001,45.549999,46.139999,45.554150,13151700
2022-08-18,46.139999,46.200001,45.759998,46.139999,45.554150,7885900
2022-08-19,45.900002,46.020000,45.040001,45.349998,44.774178,13142900
2022-08-22,44.599998,44.740002,44.119999,44.410000,43.846115,12391400
2022-08-23,44.459999,44.959999,44.279999,44.369999,43.806622,10475100
2022-08-24,44.330002,44.700001,44.020000,44.639999,44.073193,11706700
2022-08-25,44.790001,45.520000,44.430000,45.389999,44.813671,11783200
2022-08-26,45.580002,45.720001,43.939999,43.970001,43.411705,13405200
2022-08-29,43.799999,44.320000,43.580002,43.919998,43.362335,12504900
2022-08-30,44.259998,44.439999,43.549999,44.139999,43.579540,14365000
2022-08-31,44.279999,44.590000,43.610001,43.709999,43.155003,22609100
2022-09-01,43.660000,43.740002,42.799999,43.700001,43.145130,13173000
2022-09-02,44.299999,44.799999,43.169998,43.380001,42.829193,13025900
2022-09-06,43.709999,43.880001,42.360001,42.880001,42.335545,14708700
2022-09-07,42.540001,43.910000,42.250000,43.840000,43.283352,19475800
2022-09-08,43.619999,45.259998,43.340000,45.230000,44.655701,18500300
2022-09-09,45.509998,45.810001,45.250000,45.330002,44.754436,12875500
2022-09-12,45.680000,46.139999,45.259998,45.529999,44.951893,12127900
2022-09-13,44.349998,44.529999,43.040001,43.220001,42.671227,21124900
2022-09-14,43.250000,43.610001,42.250000,43.279999,42.730461,15067800
2022-09-15,43.400002,44.689999,43.349998,44.139999,43.579540,13173200
2022-09-16,43.700001,44.060001,43.330002,43.939999,43.382084,21238800
2022-09-19,43.430000,44.610001,43.410000,44.320000,43.757256,11324100
2022-09-20,43.889999,44.290001,43.090000,43.410000,42.858810,19503900
2022-09-21,43.660000,43.810001,42.240002,42.270000,41.733288,19207100
2022-09-22,42.490002,42.509998,41.439999,41.520000,40.992813,15499000
2022-09-23,40.820000,40.980000,39.700001,40.410000,39.896904,23316200
2022-09-26,40.139999,40.540001,39.340000,40.009998,39.501984,21420000
2022-09-27,40.209999,40.590000,39.410000,40.029999,39.521725,17541400
2022-09-28,39.900002,41.060001,39.900002,40.810001,40.291824,16033500
2022-09-29,40.160000,40.689999,39.770000,40.500000,39.985760,14811300
2022-09-30,40.639999,41.139999,40.180000,40.220001,39.709320,21182200
2022-10-03,41.290001,41.799999,40.639999,41.580002,41.052052,16827600
2022-10-04,42.160000,43.590000,42.160000,43.540001,42.987164,18601300
2022-10-05,42.830002,43.540001,42.560001,43.310001,42.760082,15873400
2022-10-06,42.869999,43.139999,42.209999,42.240002,41.703671,15634800
2022-10-07,42.029999,42.119999,41.389999,41.790001,41.259384,17186700
2022-10-10,41.939999,42.110001,41.150002,41.450001,40.923698,10973700
2022-10-11,41.220001,41.320000,40.060001,40.230000,39.719189,19135900
